iter	Passed	Remaining
1408	263686	110602
1409	263876	110416
1410	264115	110250
1411	264375	110093
1412	264561	109906
1413	264774	109729
1414	264957	109540
1415	265212	109381
1416	265396	109192
1417	265580	109004
1418	265762	108814
1419	265962	108632
1420	266202	108466
1421	266374	108272
1422	266577	108092
1423	266800	107919
1424	267004	107738
1425	267243	107572
1426	267476	107402
1427	267668	107217
1428	267867	107034
1429	268049	106844
1430	268253	106663
1431	268465	106486
1432	268648	106296
1433	268849	106115
1434	269046	105931
1435	269266	105756
1436	269492	105583
1437	269690	105400
1438	269861	105206
1439	270049	105019
1440	270219	104825
1441	270488	104668
1442	270742	104506
1443	271014	104351
1444	271299	104201
1445	271528	104029
1446	271724	103844
1447	271968	103678
1448	272169	103495
1449	272348	103304
1450	272573	103130
1451	272752	102939
1452	272998	102773
1453	273216	102596
1454	273415	102413
1455	273650	102243
1456	273856	102061
1457	274077	101886
1458	274298	101710
1459	274552	101546
1460	274771	101370
1461	274970	101186
1462	275181	101006
1463	275400	100829
1464	275637	100659
1465	275864	100485
1466	276058	100299
1467	276299	100130
1468	276542	99962
1469	276801	99799
1470	277000	99614
1471	277196	99429
1472	277423	99254
1473	277627	99071
1474	277804	98879
1475	277998	98693
1476	278253	98528
1477	278517	98366
1478	278799	98211
1479	279066	98050
1480	279375	97904
1481	279603	97729
1482	279873	97568
1483	280118	97399
1484	280340	97222
1485	280562	97045
1486	280794	96871
1487	280996	96687
1488	281235	96515
1489	281500	96352
1490	281711	96171
1491	281925	95990
1492	282139	95810
1493	282362	95632
1494	282554	95444
1495	282808	95277
1496	283078	95115
1497	283345	94953
1498	283497	94751
1499	283636	94545
1500	283762	94335
1501	283887	94125
1502	284039	93924
1503	284159	93712
1504	284277	93499
1505	284403	93290
1506	284530	93081
1507	284655	92871
1508	284776	92660
1509	284894	92449
1510	285040	92246
1511	285167	92038
1512	285291	91828
1513	285452	91631
1514	285592	91427
1515	285728	91222
1516	285845	91010
1517	285968	90801
1518	286117	90600
1519	286244	90392
1520	286366	90183
1521	286488	89974
1522	286622	89769
1523	286746	89561
1524	286872	89353
1525	286992	89144
1526	287145	88945
1527	287270	88737
1528	287395	88530
1529	287514	88321
1530	287636	88113
1531	287773	87909
1532	287900	87703
1533	288021	87495
1534	288154	87291
1535	288275	87083
1536	288404	86877
1537	288530	86671
1538	288648	86463
1539	288768	86255
1540	288889	86048
1541	289013	85841
1542	289133	85634
1543	289291	85438
1544	289411	85231
1545	289533	85024
1546	289657	84818
1547	289789	84615
1548	289918	84411
1549	290048	84207
1550	290186	84006
1551	290336	83808
1552	290471	83606
1553	290613	83406
1554	290751	83205
1555	290892	83005
1556	291036	82806
1557	291177	82606
1558	291347	82414
1559	291489	82215
1560	291630	82015
1561	291766	81814
1562	291927	81620
1563	292135	81439
1564	292327	81253
1565	292520	81069
1566	292711	80883
1567	292941	80708
1568	293165	80531
1569	293385	80354
1570	293599	80174
1571	293943	80030
1572	294186	79858
1573	294525	79712
1574	294834	79558
1575	295184	79415
1576	295455	79250
1577	295697	79077
1578	295946	78906
1579	296150	78723
1580	296341	78536
1581	296583	78364
1582	296845	78196
1583	297080	78021
1584	297299	77841
1585	297506	77659
1586	297722	77479
1587	297907	77290
1588	298204	77131
1589	298434	76954
1590	298641	76772
1591	298892	76600
1592	299131	76425
1593	299313	76236
1594	299492	76046
1595	299713	75867
1596	299955	75693
1597	300293	75543
1598	300494	75358
1599	300698	75174
1600	300926	74996
1601	301163	74820
1602	301354	74633
1603	301538	74444
1604	301806	74276
1605	302095	74113
1606	302371	73946
1607	302582	73763
1608	302784	73579
1609	303006	73399
1610	303239	73221
1611	303476	73045
1612	303691	72863
1613	303884	72676
1614	304082	72490
1615	304311	72311
1616	304500	72123
1617	304714	71941
1618	304953	71764
1619	305186	71586
1620	305401	71404
1621	305604	71219
1622	305793	71031
1623	305974	70841
1624	306206	70663
1625	306428	70482
1626	306634	70297
1627	306915	70130
1628	307237	69972
1629	307480	69796
1630	307760	69628
1631	307981	69446
1632	308268	69280
1633	308549	69112
1634	308817	68940
1635	309097	68772
1636	309404	68609
1637	309664	68436
1638	309923	68262
1639	310165	68085
1640	310416	67909
1641	310639	67727
1642	310868	67547
1643	311093	67365
1644	311385	67198
1645	311627	67020
1646	311911	66851
1647	312202	66683
1648	312537	66525
1649	312833	66358
1650	313101	66185
1651	313361	66010
1652	313622	65836
1653	313853	65655
1654	314038	65464
1655	314250	65279
1656	314440	65089
1657	314677	64909
1658	314904	64727
1659	315125	64543
